,Company Name,Description,Employees,Type,Location,Followers
329,Aera Technology,The Decision Intelligence company,201-500,Software Development,"Mountain View, California",31K
330,Inpixon,Full-Stack Industrial Real-Time Location System (RTLS),201-500,IT Services and IT Consulting,"Englewood, Colorado",33K
331,Dash Technologies Inc.,We don't just engineer software solutions! We partner up.,201-500,Software Development,"Dublin, Ohio",31K
332,Synapse Analytics,Better decisioning with AI.,11-50,Software Development,Abu Dhabi,32K
333,"Systems Technology Group, Inc. (STG)",Global Leading Digital Transformation Consulting Firm,1K-5K,IT Services and IT Consulting,"Troy, Michigan",30K
334,TSIA,Technology & Services Industry Association helps companies make smart decisions.,51-200,Information Services,"San Diego, CA",34K
335,Exusia,"Award winning AI, Cloud, Data solutions provider, bridging the gap between Strategy and Engineering to monetize Data.",201-500,Business Consulting and Services,"Miami, Florida",29K
336,Outlier AI,Automated Business Analysis | Find the Unexpected,11-50,Software Development,"Oakland, California",16K
337,Bigfoot Biomedical,A Simple Way To Manage Diabetes,51-200,Medical Equipment Manufacturing,"Milpitas, California",35K
338,Customer Intelligence Inc.,,51-200,Financial Services,"Weston, Florida",36K
339,"Intellectyx, Inc.","Empowering Business with Data, Digital & Gen AI Solution.",51-200,IT Services and IT Consulting,"Denver, CO",32K
340,Himflax Group,A CMMI Level 5 & MWBE-certified organization || Your trusted technology sourcing partner!,51-200,IT Services and IT Consulting,"Hamilton Square, New Jersey",34K
341,Morning Consult,Delivering Intelligent Data to Power Leaders’ Intelligent Decisions,201-500,Data Infrastructure and Analytics,"Washington, District of Columbia",28K
342,Datameer,Transform Data In Snowflake with No Code.,51-200,Software Development,Data Preparation Tools,
343,BIP.Monticello,A Global Financial Services & Management Advisory Firm. Discover our latest service areas and explore careers with us.,51-200,Business Consulting and Services,"New York, NY",35K
344,Superbeo,Digital | Contingent Workforce | Outsourcing,1K-5K,Information Technology & Services,"Malvern, Pennsylvania",31K
345,G10X,CUSTOMER OBSESSION PASSION . OWNERSHIP . PARTNERSHIP,501-1K,IT Services and IT Consulting,"Irvine, California",32K
346,Pratham Software (PSI),Creating everlasting customer experiences driven by flexibility & agility in delivering tangible results.,201-500,IT Services and IT Consulting,"Cupertino, California",30K
347,TechAffinity,Empowering Growth and Innovation #BeFutureReady,201-500,IT Services and IT Consulting,"Tampa, Florida",12K
348,Arable,Crop Intelligence,51-200,Farming,"San Francisco, California",31K
349,Research Now SSI,,1K-5K,Market Research,"Plano, Texas",29K
350,Sevan Multi-Site Solutions,Innovative Solutions for Multi-Site Organizations.,501-1K,Construction,"Downers Grove, Illinois",27K
351,ibi | Information Builders,Fuel your digital transformation. Helping organizations harness the power of data to drive informed decision making.,5K-10K,Software Development,"Fort Lauderdale, Florida",26K
352,The Integer Group,"We are The Growth Company. We harness data-fueled creativity to start conversations, drive conversion & deliver results.",1K-5K,Advertising Services,"Denver, Colorado",29K
353,PRA Group (Nasdaq: PRAA),,1K-5K,Financial Services,"Norfolk, VA",27K
354,CIGNEX,"Driving Digital Transformation Through Open Source, Cloud & Automation",501-1K,IT Services and IT Consulting,"Iselin, New Jersey",30K
355,Intone,Innovation | Transformation | Experience |,501-1K,IT Services and IT Consulting,"Iselin, New Jersey",26K
356,JMP,Great software in the right hands can change the world.,201-500,Software Development,Statistical Analysis Software,
357,TEK NINJAS,We deliver the right talent & strategic solutions for your successful transformation.,201-500,IT Services and IT Consulting,"Carrollton, Texas",30K
358,MAS Global Consulting,"Digital modernization | Data | AI w/LATAM-US talent, driving innovation while impacting women-latinos in tech #MASisMore",201-500,IT Services and IT Consulting,"Tampa, Florida",30K
359,EffectiveSoft,Software Development Company,201-500,IT Services and IT Consulting,"San Diego, California",8K
360,"Centizen, Inc.","Your Partner for IT Staffing, Remote Hiring from India, Custom Software Solutions & SaaS for Scalable Success.",201-500,IT Services and IT Consulting,"Beaverton, OR",30K
361,Fluidata Analytics,We enable companies and leaders with data and analytics solutions that drive high-value business outcomes.,11-50,Data Infrastructure and Analytics,Mumbai,28K
362,ATMECS Global Inc,“Trusted Partner” to organizations looking to shape their future with innovation and Next Gen technologies.,1K-5K,IT Services and IT Consulting,"Santa Clara, CA",25K
363,PiLog Group,Digital Transformation Company,501-1K,IT Services and IT Consulting,"Conroe, TX",27K
364,PRGX Global Inc.,Putting S2P Analytics at the Heart of Business Health,1K-5K,Financial Services,"Atlanta, Georgia",21K
365,Interra Information Technologies (InterraIT),We transform your ideas into reality #innovatewithInterraIT,501-1K,IT Services and IT Consulting,"Irvine, California",13K
366,Holmusk,Raising the standards for real-world evidence generation to transform research and care for behavioral health,51-200,Mental Health Care,"New York, NY",26K
367,Vidmob,The Creative Data Company.,201-500,Software Development,"New York, New York",26K
368,Devfi,A Digital Transformation company delivering innovative and affordable solutions by leveraging digital & AI technologies.,201-500,Information Technology & Services,"Columbus, Ohio",30K
369,Sahaj Software,Sahaj is an artisanal technology services company crafting purpose-built AI and data-led solutions for our clients.,201-500,Software Development,"Austin, Texas",27K
370,Ocrolus,Ocrolus is a document AI platform that enables faster and more accurate financial decision-making.,201-500,Financial Services,Financial Analytics Software,
371,Taazaa Inc,Stay relevant in a world of relentless change. Get the software your business really needs.,201-500,Information Technology & Services,"Hudson, Ohio",28K
372,Binmile,Software Engineering Company | Your Technology Partner for Software Innovation and Digital Success,201-500,IT Services and IT Consulting,"Claymont , Delaware",29K
373,Avlino,"Transforming Container Terminals: Your Dynamic Operations, Our Intelligent Solutions.",11-50,Software Development,"Matawan, New Jersey",29K
374,Survey Sampling International,,1K-5K,Market Research,"Shelton, CT",27K
375,linqd.,Purposefully Connected.,201-500,Advertising Services,Remote,27K
376,Live Nation for Brands,Live Nation is the industry’s most scalable live platform connecting brands to fans during unforgettable live moments.,,Entertainment Providers,"Los Angeles, California",31K
377,ScienceSoft,"You set goals, we drive the project to fulfill them.",501-1K,IT Services and IT Consulting,"McKinney, TX",22K
378,Factspan,Enabling Enterprises to be truly AI Native!,201-500,Business Consulting and Services,"Seattle, WA",25K
379,W3R Consulting,w3r Consulting gets to the root of your challenges with IT solutions that align with your goals & industry regulations.,201-500,IT Services and IT Consulting,"Southfield, MI",28K
380,"Cloud Tech Partners, acquired by Hewlett Packard Enterprise company in 2018",,201-500,Information Technology & Services,"Houston, Texas",13K
381,Fusion Technology LLC,Bringing IT together for you.,51-200,IT Services and IT Consulting,"Bridgeport, West Virginia",29K
382,Analytica,Data-driven consulting and technology services,51-200,IT Services and IT Consulting,"Washington, District of Columbia",27K
383,Nalashaa Solutions,Think Simple. Build Powerful.,201-500,Information Technology & Services,"Edison, New Jersey",29K
384,Evidera,"Evidera, a PPD business specializing in evidence, value, and access",501-1K,Research Services,"Bethesda, MD",25K
385,CMI Media Group,Realizing Healthcare's Possibilities,1K-5K,Advertising Services,"Philadelphia, PA",19K
386,AiRo Digital Labs,Making AI Possible,201-500,IT Services and IT Consulting,"Chicago, Illinois",7K
387,eClinical Solutions,We bring people and data together to support tomorrow’s breakthroughs,201-500,Software Development,"Mansfield, MA",22K
388,Insurity,"Delivering the world’s most configurable, cloud-native, easy-to-use, and intuitively analytical software",1K-5K,Software Development,"Hartford, Connecticut",22K
389,Xerago,Maximizing impact on our clients’ critical digital priorities. For twenty years and counting.,201-500,"Technology, Information and Internet","San Jose, California",22K
390,Deerwalk Inc.,,201-500,Software Development,"Lexington, Massachusetts",25K
391,Cart.com,"Unifying commerce, from discovery to delivery.",1K-5K,Software Development,"Houston, TX",23K
392,Most Loved Workplaces®,"Get Certified as a Most Loved Workplace®: Attract and Keep Top Talent, and Get Recognized for Your Company Culture!",11-50,Human Resources Services,"Palm Beach Gardens, FL",4K
393,Provana,"Tech-enabled process outsourcing for credit and collections, legal processing and revenue cycle management sectors.",1K-5K,IT Services and IT Consulting,"Lisle, Illinois",22K
394,Techvantage Analytics,Analytics for an intelligent world,51-200,IT Services and IT Consulting,Dubai,23K
395,Teletrac Navman,"A Vontier company, designed to simplify the complex and help our customers transform the way they work.",501-1K,Software Development,"Northbrook, Illinois",25K
396,Azira,Know your Market; Reach your Customers,201-500,"Technology, Information and Media","Pasadena, California",25K
397,CompQsoft,"Digital Transformation Partner: We build, modernize, & manage mission-critical systems to create competitive advantage.",501-1K,IT Services and IT Consulting,"Leesburg, Virginia",11K
398,Novetta,A Part of Accenture Federal Services,1K-5K,IT Services and IT Consulting,"McLean, VA",24K
399,314e Corporation,"Best in KLAS Healthcare IT Products & Solutions company, serving 250+ Providers, Payers, and Life Sciences customers.",501-1K,Hospitals and Health Care,"Dublin, California",21K
400,S4 Analytics LLC,A Staffing and Recruiting organization focused in Clinical Trails and Information Technology,11-50,IT Services and IT Consulting,"Little Elm, Texas",4K
401,47Billion,Design-led and data-driven product engineering services empowering digital transformation,51-200,Software Development,"Santa Clara, California",22K
402,Obviously AI,"The fastest, most precise no-code AI in the world.",11-50,Software Development,"San Francisco, California",26K
403,SNAK Consultancy Services,Unlocking Potential Delivering Results,51-200,IT Services and IT Consulting,"Sheridan, Wyoming",7K
404,LDM Global,"Global Leaders in Post-Breach Cyber Review, Document Review, & LPO/BPO – 25 Years of Excellence, Powering Your Success",501-1K,Legal Services,Steamboat Springs,4K
405,FLYR,,501-1K,Software Development,"San Francisco, California",18K
406,Arcadia,We transform data into powerful insights that deliver results.,201-500,IT Services and IT Consulting,Medical Practice Management Software,
407,Profitero,Commerce Acceleration Company,501-1K,Software Development,"Boston, Massachusetts",21K
408,Project Canary,Your Ally in Emissions Management,51-200,Environmental Services,"Denver, Colorado",14K
409,"Creative Information Technology, Inc.",,201-500,IT Services and IT Consulting,"Falls Church, VA",22K
410,"Pivot Point Consulting, a Vaco Company",We work with healthcare organizations at a “pivot point” in their business who need a partner they can trust.,201-500,Information Technology & Services,"Brentwood, Tennessee",10K
411,LiquidHub,A Capgemini company,1K-5K,IT Services and IT Consulting,"Wayne, PA",25K
412,"OM1, Inc.",,51-200,Pharmaceutical Manufacturing,"Boston, Massachusetts",23K
413,eProSoft,Transforming 'Ideas' into 'Innovation',51-200,IT Services and IT Consulting,"Princeton, NJ",27K
414,Hyly.AI,Hyly.AI Changing How Multifamily Connects,51-200,Marketing Services,"Ashburn, Virginia",25K
415,The Xela Group,Contract IT Staffing Simplified,201-500,Staffing and Recruiting,"Reston, Virginia",24K
416,SoHo Dragon,"We are agile, independent, and hold a straightforward philosophy – that outstanding talent produces outstanding work.",201-500,IT Services and IT Consulting,"New York, NY",21K
417,Ganit Inc.,Facilitators of Turning Data into Actionable Insights.,201-500,Business Consulting and Services,"Parsippany, New Jersey",19K
418,Cambridge Technology (CT),"We are a global technology services company helping companies transform by leveraging Cloud, AI, and ML.",201-500,IT Services and IT Consulting,"Atlanta , Georgia",20K
419,Cray Inc.,"Cray Inc., acquired by Hewlett Packard Enterprise in 2020",501-1K,Information Technology & Services,"Houston, Texas",23K
420,Innovation Enterprise,"From DATAx to Future Work, we organize events that curate the latest thinking to shape the future of your business",51-200,Events Services,"New York, NY",25K
421,Klaxontech Inc,We Connect We Innovate,51-200,IT Services and IT Consulting,"New York, New York",22K
422,Keller Schroeder,"An IT Company In The Performance Improvement Business Providing Applications, Data Strategy, Infrastructure, & Staffing",51-200,IT Services and IT Consulting,"Evansville, IN",22K
423,Azumo,"Top-Rated and Award-Winning Nearshore Software Development Company | Build Intelligent Apps | Web, Mobile, Data & Cloud.",51-200,IT Services and IT Consulting,"San Francisco, California",23K
424,"Octo, an IBM Company",Jump the Technology Curve,1K-5K,IT Services and IT Consulting,"Reston, VA",14K
425,Netpace Inc,Data Is To Business As Water Is To Life,51-200,Information Technology & Services,"San Ramon, California",20K
426,Syncfusion,"Specializing in .NET, web, and mobile components for enterprise software including native Blazor and Xamarin.",1K-5K,Software Development,"Morrisville, North Carolina",19K
427,Spring Venture Group,Authenticity | Accountability | Innovation,1K-5K,Insurance,"Kansas City, Missouri",18K
428,Whereoware,"Award-winning digital experience agency, marrying powerful tech w/ strategic optimization + experimentation strategies.",51-200,IT Services and IT Consulting,"McLean, VA",23K
429,"Quiet Professionals, LLC",Superior Skills. Proven Performance.,51-200,Defense & Space,"Tampa, Florida",21K
430,MightyHive,Helping marketers take control of their data&digital media—now as Media.Monks. Follow us @Media.Monks to stay updated.,1K-5K,Advertising Services,"San Francisco, CA",23K
431,Ansira,,1K-5K,Advertising Services,"St. Louis, MO",17K
432,VideoAmp,"Revolutionizing advertising, so everyone wins.",201-500,Advertising Services,"Los Angeles, California",18K
433,enableIT,Your Trusted Digital and Data Projects Partner,51-200,IT Services and IT Consulting,"New York, NY",20K
434,Healthmap Solutions,Proving there is a path to better health for kidney patients!,201-500,Hospitals and Health Care,"Tampa, FL",19K
435,Altair RapidMiner,Altair RapidMiner data analytics and AI platform,1K-5K,Software Development,"Troy, MI",21K
436,Octave,Your partner in precision care for multiple sclerosis (MS) and beyond.,51-200,Biotechnology Research,"Menlo Park, California",20K
437,sliQue Robotics,The Data Analytics Platform for Robotics & IoT,11-50,Software Development,"Las Vegas, NV",22K
438,Cognida.ai,Data to Next,201-500,Software Development,"Lincolnshire, Illinois",20K
439,ClearGov,Budget better.,51-200,Government Administration,"Maynard, MA",19K
440,Onix,,1K-5K,IT Services and IT Consulting,"New York, NY",15K
441,LussoTech LLC,IT Consulting Services and Healthcare Staffing.,51-200,Staffing and Recruiting,"Sterling, Virginia",15K
442,Verana Health,Where Quality Powers Insights,51-200,IT Services and IT Consulting,"San Francisco, California",10K
443,Cinntra,"Empowering 1500+ clients with trusted technology solutions. ERP, CRM, Business App. Development and Innovation.",201-500,IT Services and IT Consulting,"New York City, New York",23K
444,ConsultUSA,"Rewarding IT Careers, Results-Driven IT Staffing Solutions WBENC-Certified Women Business Enterprise (WBE)",51-200,Staffing and Recruiting,"Pittsburgh, PA",23K
445,Indicium,We drive your company towards a data-driven culture.,201-500,Information Technology & Services,"New York, NY",19K
446,"Svitla Systems, Inc.","Global Digital Solutions Company, founded in 2003",501-1K,IT Services and IT Consulting,"Corte Madera, California",16K
447,DonorSearch,"Providing more accurate, comprehensive, and actionable data for nonprofits to achieve better fundraising results.",51-200,Software Development,Nonprofit Software,
448,DataTrained,"Learn Anything, Anytime, Anywhere Easily!",1K-5K,Education,New York,18K
449,Onora Group,Strategic Partners in Technical Recruiting and Talent Solutions,2-10,Staffing and Recruiting,"Brentwood, Tennessee",22K
450,Tetrasoft Inc.,Engineering Digital Experiences,501-1K,IT Services and IT Consulting,"Chesterfield, Missouri",20K
451,"Ensighten, a CHEQ company","Website Consent, Compliance, and Data Privacy",51-200,Software Development,"Menlo Park, California",8K
452,Bud,"Providing deep and accurate customer context from transaction data, driving hyper personalization",51-200,Financial Services,"New York, New York",19K
453,Paragon IT Professionals,Tech Talent & Leadership Development Experts,51-200,Staffing and Recruiting,"Des Moines, IA",20K
454,Tintri,,201-500,Information Technology & Services,"Santa Clara, California",21K
455,AirDNA,Trusted insights at every step of your vacation rental journey. #LifeAtAirDNA,51-200,Information Services,"Denver, Colorado",18K
456,CYAN360,Cyan360 is a global services company providing Cloud Enabled Enterprise Transformation through integration of technology,51-200,Information Technology & Services,"Naperville, ILLINOIS",22K
457,"AustinCSI, a Cognizant Company",We share ideas. We solve problems. A culture where effort is everything. • Management Consulting Firm #LifeatAustinCSI,201-500,Business Consulting and Services,"Plano, Texas",8K
458,Evonence,Simplify Cloud Adoption,51-200,IT Services and IT Consulting,"Lewis Center, Ohio",22K
459,John Snow Labs,Helping healthcare and life science organizations put AI to work faster with state-of-the-art LLM & NLP,51-200,IT Services and IT Consulting,"Lewes, Delaware",19K
460,Starpoint Solutions,Starpoint Solutions' brand name is no longer active.,501-1K,IT Services and IT Consulting,"New York, NY",20K
461,NucleusTeq,Empowering Businesses to Leap into the Future with Digital and Data Transformation,201-500,IT Services and IT Consulting,"Phoenix, Arizona",17K
462,Relevance Lab,"Driving Frictionless Business leveraging Cloud, Agile Analytics, DevOps and Digital",501-1K,IT Services and IT Consulting,"San Jose, CA",17K
463,Tealbox Digital,"Performance Marketing Agency that helps our clients decrease CPM, increase Conversion Rates and increase their Profits!",11-50,Advertising Services,"Austin, Texas",21K
464,nClouds,Accelerate Innovation,51-200,IT Services and IT Consulting,"Salt Lake City, Utah",14K
465,rockITdata,"Expert consulting, mission support, and innovative solutions in Data, AI, and contact centers to drive your success.",51-200,Business Consulting and Services,"Philadelphia , PA",19K
466,Global Alliant Inc,2021 & 2022 Inc. 5000 Company | #1 Fastest-Growing IT Services Company in the Mid-Atlantic,51-200,IT Services and IT Consulting,"Columbia, Maryland",17K
467,Pharmaceutical Strategies Group - PSG,,51-200,Business Consulting and Services,"Dallas, Texas",18K
468,ScatterPie Analytics,Modernizing analytics for today's enterprise,51-200,IT Services and IT Consulting,"Mumbai, Maharashtra",17K
469,"CorpU, A Udemy Company",,51-200,E-Learning Providers,"Philadelphia, PA",8K
470,Actemium Avanceon,We’re dedicated to your success,51-200,Automation Machinery Manufacturing,"Exton, PA",20K
471,Butler/Till,Impressions are good. Connections are better. We’re the results-driven marketing agency that knows the difference.,201-500,Advertising Services,"Rochester, New York",17K
472,Adcuratio Media Inc.,Reimagining TV with National Custom Messaging,51-200,Advertising Services,New Jersey,8K
473,Datrick,Data is the new oil. We are the refinery.,11-50,IT Services and IT Consulting,"Wilmington, DE",19K
474,Avalere,Part of Avalere Health,201-500,Business Consulting and Services,"Washington, DC",16K
475,AIS Info,"Professional services and technology company supporting Operations and IT functions with data, automation and talent.",501-1K,Financial Services,"Houston, Texas",14K
476,AtScale,The Leading Semantic Layer Platform for Data and Analytics,51-200,Software Development,"Boston, Massachusetts",17K
477,"Precise Software Solutions, Inc.",Agility. Performance. Innovation.,51-200,IT Services and IT Consulting,"Rockville, MD",17K
478,Just Global,Just Global | A Trilliad Company,201-500,Advertising Services,"Emeryville, California",16K
479,"Zymr, Inc. | Software Product Engineering Services",Leading the digital change,201-500,IT Services and IT Consulting,"San Jose, CA",17K
480,Two Sigma,,1K-5K,Financial Services,"New York, NY",212K
481,StratApps,,51-200,Information Technology & Services,"Fremont, CA",18K
482,Javelin Agency,Inspiring desire for courageous brands.,51-200,Advertising Services,"Irving, TX",19K
483,SEQURETEK,Simplify Security,201-500,Computer and Network Security,"Woodbridge, NJ",16K
484,innoVet Health (SDVOSB),"Delivering healthcare IT, data analytics, interoperability, and digital services to the federal and the private sectors.",11-50,IT Services and IT Consulting,"Dallas, Texas",17K
485,Copper Digital,Accelerating Growth & Innovation | Driving your Digital Transformation,51-200,IT Services and IT Consulting,"Dallas, Texas",16K
486,RomAnalytics,"Making talent acquisition smarter with the right network, knowledge and foundations in insights and analytics",2-10,Staffing and Recruiting,"Collegeville, PA",17K
487,GyanSys Inc.,,1K-5K,IT Services and IT Consulting,"Carmel, Indiana",185K
488,605 | an iSpot company,Delivering the Most Advanced TV Viewership Insights and Industry Expertise.,51-200,Advertising Services,"New York , New York",14K
